date,predicted_index,real_price,regime_probability,steel_etf,iron_ore,thermal_coal_futures,bdry_freight,al_price,india_steel,vix,usd_inr,silica_quartz_index,cny_inr,hydrology_rainfall_index,zce_fesi_futures,carbon_emissions_futures,electricity_power_index,fx_effect
2027-04-23,276.98568,114.9022,0.0945,164.5952,167.4206,63.6484,23.145,2687.8694,1473.5216,18.4726,101.4581,148.27,13.786,100.0,5628.0,74.71,121.8637,7.3595
2027-04-30,277.81887,115.2478,0.1035,160.3232,172.7151,67.949,24.5434,2634.6833,1638.0042,13.8876,100.7224,148.27,13.786,100.0,5628.0,74.71,128.0707,7.3061
2027-05-07,278.35871,115.4718,0.0967,161.1489,171.6525,72.8038,25.0449,2663.335,1609.778,12.8325,100.429,148.27,13.786,100.0,5628.0,74.71,135.0777,7.2849
2027-05-14,278.67312,115.6022,0.0776,145.8382,174.2211,71.6542,26.9042,2646.5816,1703.7747,11.5033,98.833,148.27,13.786,100.0,5628.0,74.71,133.4184,7.1691
2027-05-21,276.61545,114.7486,0.0724,148.1953,172.7003,75.2545,22.8615,2667.2326,1762.3143,9.064,99.681,148.27,13.786,100.0,5628.0,74.71,138.6147,7.2306
2027-05-28,274.46353,113.8559,0.105,155.0484,173.3041,73.1219,23.585,2586.2229,1701.7496,11.5485,99.9939,148.27,13.786,100.0,5628.0,74.71,135.5368,7.2533
2027-06-04,276.47337,114.6897,0.167,153.3002,166.5564,71.2308,24.2824,2646.0187,1635.7765,13.2749,101.0059,148.27,13.786,100.0,5628.0,74.71,132.8073,7.3267
2027-06-11,273.77762,113.5714,0.1704,146.1986,163.136,71.9546,25.8641,2580.4763,1479.7139,13.6592,102.9888,148.27,13.786,100.0,5628.0,74.71,133.852,7.4705
2027-06-18,276.88429,114.8601,0.1568,147.0671,168.0515,74.0305,26.3251,2523.8288,1510.7527,18.4779,104.0218,148.27,13.786,100.0,5628.0,74.71,136.8481,7.5455
2027-06-25,274.35101,113.8092,0.1098,140.6854,167.214,74.2769,28.5807,2404.4622,1614.7109,18.0061,103.7171,148.27,13.786,100.0,5628.0,74.71,137.2038,7.5234
2027-07-02,272.23,112.9294,0.107,146.2056,167.7344,68.8306,25.9872,2382.8248,1736.2505,17.2624,102.6051,148.27,13.786,100.0,5628.0,74.71,129.3431,7.4427
2027-07-09,275.7477,114.3886,0.1143,129.3497,167.3834,67.9002,27.3906,2516.1576,1823.586,16.525,101.798,148.27,13.786,100.0,5628.0,74.71,128.0003,7.3842
2027-07-16,274.14929,113.7256,0.1227,129.5334,167.2378,68.7012,27.1231,2476.1903,1781.4534,16.4316,101.4116,148.27,13.786,100.0,5628.0,74.71,129.1563,7.3561
2027-07-23,271.1524,112.4824,0.104,128.1283,177.8195,58.7464,29.4366,2569.1792,1628.9915,15.5446,101.1527,148.27,13.786,100.0,5628.0,74.71,114.7887,7.3373
2027-07-30,267.80029,111.0918,0.1311,121.8724,190.9913,62.0858,32.376,2625.2613,1551.7142,14.282,101.5283,148.27,13.786,100.0,5628.0,74.71,119.6083,7.3646
2027-08-06,268.75037,111.4859,0.126,120.6241,188.1169,64.7498,33.4877,2599.3864,1632.0043,11.9988,101.9987,148.27,13.786,100.0,5628.0,74.71,123.4533,7.3987
2027-08-13,266.09039,110.3825,0.1486,122.5177,178.7898,68.3832,33.0565,2561.6312,1708.2534,10.7103,100.9711,148.27,13.786,100.0,5628.0,74.71,128.6974,7.3242
2027-08-20,268.05874,111.199,0.1848,115.6246,192.0509,60.4728,37.5185,2578.7938,1701.5291,9.8085,101.2778,148.27,13.786,100.0,5628.0,74.71,117.2804,7.3464
2027-08-27,270.30343,112.1302,0.1802,116.3013,193.2469,59.1894,37.3865,2603.3297,1580.4815,7.8943,101.8398,148.27,13.786,100.0,5628.0,74.71,115.4279,7.3872
2027-09-03,280.27159,116.2653,0.1955,116.4679,196.018,57.3335,35.3123,2619.5044,1515.2807,8.4274,100.5966,148.27,13.786,100.0,5628.0,74.71,112.7494,7.297
