feature,importance
cny_inr_rmin26,3
hydrology_rainfall_index_lag13,3
carbon_emissions_futures_rmax26,3
electricity_power_index_rm4,3
electricity_power_index_rm8,3
india_steel_rmax4,2
india_steel_rm8,2
india_steel_rm26,2
usd_inr_rm8,2
usd_inr_rmin8,2
cny_inr_rmax13,2
hydrology_rainfall_index_lag1,2
hydrology_rainfall_index_lag4,2
hydrology_rainfall_index_rmax13,2
hydrology_rainfall_index_rmin26,2
carbon_emissions_futures_rmin8,2
carbon_emissions_futures_rmin26,2
electricity_power_index_rmin13,2
hydrology_rainfall_index,1
steel_etf_rmax26,1
india_steel_rmin13,1
usd_inr_rmax13,1
usd_inr_rmin26,1
hydrology_rainfall_index_lag6,1
hydrology_rainfall_index_rz4,1
hydrology_rainfall_index_rmin4,1
hydrology_rainfall_index_rmax8,1
hydrology_rainfall_index_rmin13,1
covid_disruption,0
ukraine_energy_crisis,0
logistics_spike,0
china_power_curbs_2021,0
china_export_restrict,0
energy_crisis_europe,0
steel_downturn_2015,0
steel_downturn_2019,0
china_steel_curbs,0
india_infra_push,0
usd_inr_rmin13,0
usd_inr_rmax26,0
hydrology_rainfall_index_ret,0
hydrology_rainfall_index_lag8,0
hydrology_rainfall_index_rmax4,0
hydrology_rainfall_index_rmin8,0
hydrology_rainfall_index_rmax26,0
electricity_power_index_rmax26,0
electricity_power_index_rmin26,0
quarter,0
